customer_id,nombre,apellido,cedula,fecha_nacimiento,email,direccion,telefono,fecha_creacion,estado_cliente,_tipo_error
Cus001,Lalo,Rios,1416924072,11-07-1964,lalo.rios@yahoo.com,"Pasaje Jiménez y Av. Bilbao, Guipúzcoa",0950693756,16/08/2024 22:27:26,Inactivo,
Cus002,Alfredo,Belmonte,0833496763,26-10-2001,alfredo.belmonte@yahoo.com,"Transversal Alba y Av. Cardona, Zaragoza",0925413319,25/09/2025 22:27:26,Inactivo,
Cus003,Desiderio,Merino,0425369428,27-05-1980,desiderio.merino@hotmail.com,"Av. Araujo y Av. Batlle, Cuenca",0928120891,19/06/2025 22:27:26,Inactivo,
Cus004,Natalia,Correa,1125889384,18-05-1989,natalia.correa@gmail.com,"Transversal Romero y Av. Benavides, Burgos",0992264419,13/05/2025 22:27:26,Inactivo,
Cus005,Juanita,Barceló,0934232091,20-06-1945,juanita.barcelo@gmail.com,"Av. Dueñas y Av. Montes, Huelva",0933113795,24/05/2025 22:27:26,Inactivo,
Cus006,Matilde,Montero,1618564346,27-04-1976,matilde.montero@gmail.com,"Pasaje Reina y Av. Borrás, Valladolid",0965216647,02/02/2025 22:27:26,Inactivo,
Cus007,Nando,Molins,0304170186,28-05-2006,nando.molins@yahoo.com,"Pasaje Izquierdo y Pasaje Barreda, Huesca",0961912259,18/04/2026 22:27:26,Activo,
Cus008,Viviana,Gallego,1434546428,09-02-1964,viviana.gallego@yahoo.com,"Pasaje Costa y Calle Alegria, Madrid",0957156528,17/08/2025 22:27:26,Inactivo,
Cus009,Leonor,Rodrigo,2400289761,12-02-1952,leonor.rodrigo@yahoo.com,"Av. Gallego y Calle Ribas, Jaén",0977104660,18/04/2026 22:27:26,Activo,
Cus010,Eric,Sarabia,2329379602,23-06-1989,eric.sarabia@hotmail.com,"Transversal Boix y Transversal Planas, Málaga",0961006396,21/12/2024 22:27:26,Inactivo,
Cus011,Emperatriz,Andres,1108041656,19-11-1955,emperatriz.andres@hotmail.com,"Transversal Viñas y Av. Maldonado, Granada",0985181081,18/04/2026 22:27:26,Activo,
Cus012,Florentino,España,1640190961,03-02-1962,florentino.espana@gmail.com,"Av. Losa y Pasaje Ayala, Badajoz",0952714098,15/08/2025 22:27:26,Inactivo,
