customer_id,nombre,apellido,cedula,fecha_nacimiento,email,direccion,telefono,fecha_creacion,estado_cliente
Cus001,Lalo,Rios,1629887454,12-07-1964,lalo_rios@yahoo.com,"Av. Jiménez y Calle Bilbao, Guipúzcoa",0955464039,17/08/2024 14:22:21,Inactivo
Cus002,Alfredo,Belmonte,1603889724,27-10-2001,a.belmonte@yahoo.com,"Av. Alba y Av. Cardona, Zaragoza",0948097741,19/04/2026 14:22:21,Activo
Cus003,Desiderio,Merino,2208355855,28-05-1980,desiderio.merino@hotmail.com,"Pasaje Araujo y Av. Batlle, Cuenca",0928120891,19/04/2026 14:22:21,Activo
Cus004,Natalia,Correa,3040522801,19-05-1989,n.correa@gmail.com,"Av. Romero y Pasaje Benavides, Burgos",0964778467,14/05/2025 14:22:21,Inactivo
Cus005,Juanita,Barceló,1823751944,21-06-1945,juanita.barcelo@gmail.com,"Av. Dueñas y Av. Montes, Huelva",0953039183,19/04/2026 14:22:21,Activo
Cus006,Matilde,Montero,1153916927,10-10-1938,matilde_montero@gmail.com,"Av. Reina y Calle Borrás, Valladolid",0922056547,18/10/2024 14:22:21,Inactivo
Cus007,Nando,Molins,2135714752,02-12-1940,nando_molins@yahoo.com,"Calle Izquierdo y Calle Barreda, Huesca",0981221428,19/04/2026 14:22:21,Activo
Cus008,Viviana,Gallego,1007448606,10-02-1964,viviana_gallego@yahoo.com,"Av. Costa y Calle Alegria, Madrid",0930931788,18/08/2025 14:22:21,Inactivo
Cus009,Leonor,Rodrigo,0544503204,29-11-1985,l.rodrigo@yahoo.com,"Pasaje Gallego y Pasaje Ribas, Jaén",0966911804,19/04/2026 14:22:21,Activo
Cus010,Eric,Sarabia,1642370504,15-02-1971,e.sarabia@hotmail.com,"Calle Boix y Av. Planas, Málaga",0988431251,18/03/2025 14:22:21,Inactivo
Cus011,Emperatriz,Andres,2048868539,22-01-1958,e.andres@hotmail.com,"Av. Viñas y Pasaje Maldonado, Granada",0992201852,22/07/2025 14:22:21,Inactivo
Cus012,Florentino,España,2124413887,22-04-1952,florentinoespana@gmail.com,"Pasaje Losa y Pasaje Ayala, Badajoz",0979867039,19/04/2026 14:22:21,Activo
Cus013,Abraham,Paredes,0130121304,27-04-1981,paredes.abraham@hotmail.com,"Av. Lopez y Av. Sanz, Cantabria",0993504338,27/11/2024 14:22:21,Inactivo
Cus014,Narciso,Lillo,2324160908,25-04-1972,narciso.lillo@gmail.com,"Av. Villena y Pasaje Gomila, Albacete",0987297795,29/08/2025 14:22:21,Inactivo
Cus015,Eustaquio,Alsina,1010983458,01-07-1967,e.alsina@hotmail.com,"Av. Jáuregui y Calle Tena, Cádiz",0946333908,06/01/2025 14:22:21,Inactivo
Cus016,Emiliana,Garmendia,0203655618,13-06-1950,emilianagarmendia@gmail.com,"Pasaje Bravo y Av. Barón, La Coruña",0976275103,19/04/2026 14:22:21,Activo
Cus017,Narcisa,Céspedes,2219705833,22-12-1994,narcisa.cespedes@gmail.com,"Pasaje Salvador y Calle Porcel, Jaén",0974370589,19/04/2026 14:22:21,Activo
Cus018,María,Quesada,0753660950,16-08-1992,mariaquesada@yahoo.com,"Av. Cánovas y Av. Zaragoza, Asturias",0922296977,19/04/2026 14:22:21,Activo
Cus042,Miguel,Ribera,0141177261,09-03-1946,ribera.miguel@gmail.com,"Calle Montoya y Pasaje Pastor, Ourense",0931970165,19/04/2026 14:22:21,Activo
